scenario_id,strategy,fact_recall,tone_and_format_accuracy,conciseness_and_fluency,overall_average
SCN-001,basic,1.0,0.7454,0.9,0.8818
SCN-001,structured,1.0,1.0,1.0,1.0
SCN-002,basic,1.0,0.875,0.9,0.925
SCN-002,structured,0.6667,1.0,0.65,0.7722
SCN-003,basic,1.0,0.875,0.9,0.925
SCN-003,structured,1.0,1.0,1.0,1.0
SCN-004,basic,1.0,0.875,0.9,0.925
SCN-004,structured,1.0,1.0,1.0,1.0
SCN-005,basic,1.0,0.7454,0.9,0.8818
SCN-005,structured,1.0,1.0,1.0,1.0
SCN-006,basic,1.0,0.875,0.9,0.925
SCN-006,structured,1.0,1.0,1.0,1.0
SCN-007,basic,1.0,0.875,0.9,0.925
SCN-007,structured,1.0,1.0,1.0,1.0
SCN-008,basic,1.0,0.875,0.9,0.925
SCN-008,structured,1.0,1.0,1.0,1.0
SCN-009,basic,1.0,0.875,0.9,0.925
SCN-009,structured,1.0,1.0,1.0,1.0
SCN-010,basic,1.0,0.875,0.9,0.925
SCN-010,structured,1.0,1.0,1.0,1.0
,,,,,
STRATEGY_AVERAGES,,,,,
,basic,1.0,0.8491,0.9,0.9164
,structured,0.9667,1.0,0.965,0.9772
